Card Name,Quantity,Type,Rarity
Magic Sediment,13,AT,0
Magical Bishop,3,F,0
Magical Knight,3,F,0
Magical Knight (Evolved),1,FE,*L
Magical Pawn,7,FT,0
Magical Rook,3,F,0
Magical Strategy,5,S,0
Metaproduction,2,S,0
Milady Mystic Queen,1,F,*
Milady Mystic Queen (Evolved),1,FE,*
Mirror of Truth,3,A,0
Mr Heilen Shadow Mage,2,F,0
Multipart Experiment,5,S,0
Mystic King,1,F,*L
Mystic King (Evolved),1,FE,*L
Mythril Golem,3,F,*L
Paper Shikigami,2,FT,0
Passionate Potioneer,2,F,0
Penguin Wizard,3,F,0
Penguin Wizard (Evolved),3,FE,0
Raio Omen of Truth,1,F,*L
Red-Hot Ritual,5,A,0
Remi & Rami Witchy Duo,5,F,0
Remi & Rami Witchy Duo (Evolved),3,FE,0
Rimewind,3,S,*
Rune Blade Summoner,3,F,*
Runic Guardian ,1,F,0
Sammy Wizard's Apprentice,3,F,0
Sammy Wizard's Apprentice (Evolved),3,FE,0
Servant of Destruction,1,F,0
Servant of Destruction (Evolved),1,FE,0
Shadow Witch,5,F,0
Shikigami Summons,2,S,*
Sorcery Cache,3,S,0
Spectral Wizard,1,F,0
Spectral Wizard (Evolved),1,FE,0
Strikeform Golem,7,FT,0
Strikeform Golem (JP),2,FT,*
Sun Oracle Pascale,1,F,*L
Talisman Disciple,3,F,0
Talisman Disciple,1,F,*
Teachings of Creation,1,A,0
The Cauldron of Calamity,3,A,0
Traditional Sorcerer,3,F,0
Truth's Adjudication,2,S,0
Wind Blast,3,S,0
Witch Of Sweets,2,F,0
Witch of Sweets (Evolved),2,FE,0
Witchbolt,5,S,0
Witch's Cauldron,3,A,0
Wizardess of Oz,1,F,*SL
Frog Cleric,5,F,0
Gravity Grappler,3,F,0
Guardian Nun,3,F,0
Guardian Nun (Evolved),3,FE,0
Hakrabi,1,F,*
Hallowed Dogma,3,S,0
Hare of Illusions,3,A,*
Heavenly Aegis,1,F,*L
Heavenly Aegis (Evolved),1,FE,*L
Holy Counterattack,2,S,0
Holy Falcon,17,FT,0
Holy Falcon (JP),2,FT,*
Holy Lancer,1,F,0
Holy Lancer,1,F,*
Holy Lancer (Evolved),2,FE,0
Holy Lancer (Evolved),1,FE,*
Holy Sentinel,1,A,0
Holy Tiger,9,FT,0
Jeanne d'Arc (Evolved),1,FE,*L
Kaguya,3,F,*
Kaguya (Evolved),2,FE,*
Karula Arts Master,1,F,*L
Karula Arts Master,1,F,*SL
Karula Arts Master (Evolved),1,FE,*L
Mainyu,1,F,0
Mainyu (Evolved),1,FE,0
Manifest Devotion,2,S,*
March Hare's Teatime,2,A,0
Moon Al-mi'raj,3,F,*L
Odette White Swan,2,F,*
Phantom Blade Wielder,1,F,*
Pinion Prayer,3,A,0
Pinion Prince,3,F,0
Pinion Prince (Evolved),2,FE,0
Priest of the Cudgel,3,F,0
Priest of the Cudgel (Evolved),3,FE,0
Radiance Angel,5,F,0
Radiance Angel (Evolved),3,FE,0
Realm of Repose,2,A,0
Ruby Falcon,3,F,0
Ruby Falcon (Evolved),1,FE,0
Sacred Plea,2,A,*
Saintly Leader,1,F,*
Sapphire Priestess,6,F,0
Servant of Repose,1,F,0
Shrine Knight Maiden,1,F,0
Silver Kog Spinner,1,F,0
Sister Initiate,1,F,0
Skullfane,3,F,*L
Sky Sprite,6,F,0
Sledgehammer Exorcist,5,F,0
Snake Priestess,3,F,0
Soul Collector,5,F,0
Soul Collector (Evolved),5,FE,0
Temple Defender,1,F,0
The Saviors,2,S,0
Tin Soldier,2,F,0
Tribunal of Good and Evil,4,A,*
Unidentified Subject (Evolved),1,FE,0
White Knight,1,F,0
Winged Staff Priestess,3,F,0
Wingy Chirpy Gemstone,2,F,*
Ironwrought Defender,3,F,0
Jeno Levin Vanguard,7,F,*
Jeno Levin Vanguard (Evolved),1,FE,0
Kagemitsu Matchless Blade,1,F,*L
Kiss of the Princess,2,S,0
Knight,13,FT,0
Knight (JP),1,FT,*
Latham Vanguard Captain,3,F,*
Leonidas,3,F,*
Leonidas (Evolved),1,FE,0
Leonidas' Resolve,4,AT,0
Levin Scholar,3,F,0
Luminous Knight,1,F,0
Mach Knight,3,F,0
Mach Knight (Evolved) ,1,FE,0
Maisy Red Riding Hood,1,F,*
Moonlight Assassin,3,F,0
Navy Lieutenant,1,F,0
Ninja Master,1,F,0
Ninja Trainee,3,F,0
Novice Trooper,1,F,0
Oathless Knight,3,F,0
Oathless Knight (Evolved),3,FE,0
Octrice Omen of Usurpation,1,F,*L
Octrice Omen of Usurpation (Evolved),1,FE,*L
Old Man and Old Woman,2,F,0
Onslaught,3,S,0
Otohime's Bodyguard,1,FT,0
ourtly Dance,2,S,*
Petalwink Paladin,3,F,0
Pompous Princess,1,F,0
Quickblader,3,F,0
Quickblader (Evolved) ,3,FE,0
Quickdraw Maven,1,F,0
Quickdraw Maven,1,F,*
Quickdraw Maven (Evolved),1,FE,0
Rabbit Ear Attendant,2,F,0
Ralmia Sonic Racer,1,F,*L
Royal Banner,1,A,0
Samurai,5,F,0
Samurai Outlaw,3,F,0
Samurai Outlaw (Evolved),2,FE,0
Sea Queen Otohime (Evolved),1,F,*SL
Servant of Usurpation,2,F,0
Shadowed Assassin (Evolved),1,FE,*
Shield Guardian,4,FT,0
Steadfast Samurai,2,F,*
SteelClad Knights,6,FT,0
SteelClad Knights (JP),1,FT,*
Swift Infiltrator,5,F,0
Swordsman,1,F,0
Tsubaki,3,F,0
Twinsword Master,1,F,0
Unbridled Fury,3,S,0
Usurping Spineblade,1,S,0
Valiant Fencer,1,F,*L
Veteran Lancer,2,F,0
Viking,1,FT,0
White General,3,F,0
White Paladin,2,F,*
Whole-Souled Swing,5,S,0
Young Ogrehunter Momo,2,F,0
Young Ogrehunter Momo (Evolved),1,F,*
Yurius Levin Duke,7,F,*
Fairy Wisp ,8,FT,0
Fen Sprite,3,F,0
Floral Breeze,2,S,0
Flower Doll,1,F,0
Flower Doll (Evolved),2,FE,0
Flower Princess,3,F,0
Forest Gigas,5,F,0
Forest Gigas (Evolved),4,F,0
Gerbera Bear,3,F,0
Gerbera Bear (Evolved),2,FE,0
Grand Archer Selwyn,3,F,*
Grand Archer Selwyn (Evolved),2,F,*
Greenbrier Elf,2,F,*
Greenwood Guardian,2,F,0
Harvest Festival,1,F,*PR
Homecoming,1,S,*
Lymaga Forest Champion,1,F,*L
Lymaga Forest Champion (Evolved),1,F,*L
Magical Fairy Lilac,1,F,*
Mallet Monkey,3,F,0
Mallet Monkey (Evolved),2,FE,0
Mana Elk,1,F,0
Mark of the Six,2,S,0
Mark of the Unkilling,1,S,0
Mark of the Unkilling,1,S,*
Mechanical Bowman,1,F,0
Morton the Manipulator,1,F,*
Nature's Guidance,1,F,0
Noah Vengeful Puppeteer,1,F,0
Noah Vengeful Puppeteer (Evolved),1,FE,0
Noble Fairy,1,F,0
Okami,3,F,0
Rhinoceroach,1,L,*
Rhinoceroach (Evolved),1,FE,*
Robin Hood,3,F,*
Rose Deer,6,F,0
Rose Gardener,3,F,0
Rose Gardener (Evolved),3,FE,0
Rose Queen,1,F,*L
Servant of Unkilling,1,F,0
Slade Blossoming Wolf,2,F,*
Slade Blossoming Wolf (Evolved),1,F,*
Spiritshine,3,S,0
Sylvan Justice,3,S,0
Synchronized Slash,3,S,0
Thorn Burst,5,ST,0
Titania's Sanctuary,3,A,*
Treant,3,F,0
Treant (Evolved),3,EF,*L
Tweedle Dum Tweedle Dee,3,F,0
Tweedle Dum Tweedle Dee (Evolved),2,FE,0
Waltzing Fairy,3,F,0
Water Fairy,3,F,0
Water Fairy (Evolved) ,3,EF,0
White Wolf of Eldwood,1,F,*L
Wildwood Matriarch,1,F,*
Wood of Brambles,2,A,0
Woodkin Curse,1,S,0
Woodland Band,3,A,0
Woodland Cleaver,3,F,0
Woodland Cleaver (Evolved),1,FE,0
Woodland Refuge,3,S,0
